CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	42354	43263	43263	40312	45151	42046	35026	35026	35583	35136	39002	34378	34378	37569	37051	37486	34081	34081	41128	39245	34032	40431	40432	45944	39089	38829	36621	36621	43776	36315	41581	39768	39761	27138	28386	26465	27076	27076	25071	25578	34627	30138	30138	24206	26938	26938	22273	25162	22507	19670	11743
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3201	4378	4378	5289	4728	3680	1688	1688	2604	1816	2289	259	259	7408	5872	4311	3107	3107	9993	6107	885	5326	5326	9382	8117	8795	7147	7147	11260	5358	6612	7844	7844	1685	5135	2990	2921	2921	1960	2899	456	3039	3039	1024	3048	3048	1842	3336	5703	4213	1889
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4093	13611	6500	6500	0	0	0	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	25495	24909	24909	21653	25378	25929	23142	23142	24103	23443	26050	22685	22685	22111	23202	23341	20861	20861	21467	22519	21824	23988	23989	27459	22586	17556	14174	14080	22120	16279	11283	14926	14926	18957	16401	15266	12643	12643	15295	13784	21827	19212	19212	13677	16527	16527	14893	16808	13917	12876	7196
Hàng tồn kho###Inventory	12352	12603	12603	12202	12855	11526	9606	9606	6798	7956	8293	10784	10784	7014	6800	9209	9434	9434	9016	9953	10613	10314	10314	8005	7612	9659	12669	12669	7626	8506	7858	9473	9473	5865	6307	7273	10952	10952	6855	7866	6366	7417	7417	4597	4805	4805	3322	2640	2028	2370	2116
Tài sản ngắn hạn khác###Other Current Assets	1306	1374	1374	1168	2190	911	591	591	2078	1921	2370	649	649	1037	1178	626	679	679	652	665	709	802	802	1098	774	2818	2631	2726	2771	2079	2217	1024	1017	631	543	935	560	560	961	1029	1977	471	471	4908	2558	2558	2216	2379	859	211	542
Tài sản dài hạn###Non-current Assets	50449	49235	49235	50859	51666	53112	50928	50928	52613	54522	55898	54157	54157	56314	52101	50110	50261	50257	51202	52291	51561	49831	49831	48036	43625	40939	41783	41783	40375	37225	37406	30067	30067	31340	32078	32466	33400	33400	34527	35414	36391	37366	37366	38082	36835	36835	36112	34684	35182	35699	33511
Các khoản phải thu dài hạn###Long term Account Receivable	2454	2145	2145	2094	2094	2094	1790	1790	1746	1746	1746	1456	1456	1416	1416	1416	999	994	980	524	524	391	391	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	37178	38537	38537	39955	40712	42119	43318	43318	44999	46681	47810	49468	49468	51195	46505	44273	45694	45694	38726	40050	41294	40465	40465	41742	34977	36062	40754	36815	37953	25459	36918	29418	29418	30187	30659	31117	29906	31981	33000	33912	34790	35688	35688	36384	34731	35409	34745	33341	34105	34874	32924
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-50564	-49851	-49851	-48329	-46800	-45238	-43591	-43591	-41949	-40307	-38679	-37061	-37061	-35374	-33729	-32346	-30965	-30965	-29658	-28348	-27036	-25766	-25766	-24503	-23397	-22287	-21172	-21172	-20049	-19131	-18286	-17427	-17427	-16576	-15724	-15267	-14391	-14391	-13798	-12897	-11990	-11075	-11075	-10167	-7532	-7532	-6774	-6021	-5269	-4517	-1899
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1043	-1003	-1003	-964	-924	-884	-845	-845	-805	-766	-726	-686	-686	-647	-607	-568	-528	-528	-514	-500	-487	-473	-473	-459	-445	-431	-418	-418	-403	-388	-373	-358	-358	-343	-328	-364	-345	-345	-326	-307	-289	-270	-270	-251	-195	-195	-178	-161	-144	-127	-59
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	10629	8553	8553	8777	8835	8899	5688	5688	5868	6095	6342	3233	3233	3704	3903	4268	3569	3569	1381	1677	978	777	777	725	782	938	1029	1029	347	384	488	648	648	1152	1418	1349	1419	1419	1527	1502	1602	1678	1678	1697	1426	1426	1367	1342	1077	825	587
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	92803	92498	92498	91171	96817	95158	85954	85954	88196	89658	94900	88535	88535	93883	89153	87596	84342	84338	92329	91536	85593	90262	90263	93980	82714	79768	78404	78404	84151	73540	78987	69835	69828	58477	60463	58932	60477	60477	59598	60992	71018	67504	67504	62288	63773	63773	58385	59845	57689	55369	45254
Nợ phải trả ###Liabilities	42333	43166	43166	43955	52350	46097	39026	39026	42329	45434	53383	38051	38051	46295	44767	35626	34377	34377	43978	47789	34431	41440	41465	48298	42645	33200	32611	32611	39929	33587	32772	24601	24601	15310	19720	15724	20158	20158	21131	24514	31548	30352	30352	25046	25211	25211	22580	24965	21916	21047	15489
Nợ ngắn hạn###Short term Liabilities	36257	40113	40113	40331	49606	42641	35671	35671	38322	41909	49046	33713	33713	39945	43073	35626	34377	34377	43203	42567	27744	34574	34598	39980	35492	29476	28942	28942	32704	26362	25610	23195	23194	15310	19484	15488	19922	19922	20215	21245	28270	27075	27075	20341	20076	20076	14686	18487	15182	14035	9102
Nợ dài hạn###Long term Liabilities	6075	3054	3054	3624	2744	3456	3355	3355	4007	3525	4337	4337	4337	6350	1694	0	0	0	775	5222	6687	6866	6866	8318	7153	3725	3669	3669	7225	7225	7161	1406	1406	0	236	236	236	236	916	3269	3277	3277	3277	4705	5135	5135	7894	6478	6733	7012	6387
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	50471	49331	49331	47215	44467	49061	46928	46928	45867	44224	41517	50484	50484	47589	44386	51970	49965	49961	48352	43747	51161	48822	48798	45682	40069	46567	45792	45792	44222	39953	46215	45233	45227	43167	40743	43208	40319	40319	38467	36478	39471	37152	37152	37242	38562	38562	35805	34880	35774	34322	29765
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	281	0	0	0
Vốn chủ sở hữu ###Owners equity	50471	49331	49331	47215	44467	49061	46928	46928	45867	44224	41517	50484	50484	47589	44386	51970	49965	49961	48352	43747	51161	48822	48798	45682	40069	46567	45792	45792	44222	39953	46215	45233	45227	43167	40743	43208	40319	40319	38467	36478	39471	37152	37152	37242	38562	38562	35678	34599	35774	34322	29765
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73540	78987	69835	69828	58477	60463	58932	60477	60477	59598	60992	71018	67504	0	62288	63773	0	0	0	0	55369	45254



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q3 2009	Q2 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	31040	139176	34501	36745	33803	34126	144586	36321	38346	34313	35606	147497	35168	39644	36997	35688	166426	39365	47043	42171	37846	162215	42403	49570	39140	33265	136217	39110	45666	29205	25149	113897	29235	26560	28584	29518	100553	23759	24171	26698	25925	88935	63039	18152	13495	15124	16267	47752	15124	16267	18305
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	36	0	0	0	0	352	615	669	525	0	319	796	712	1087	3430	1237	658	699	836	3314	550	687	1145	932	4046	1232	267	226	366	372	343	366	372	24
Doanh thu thuần###Net Sales	31040	139176	34501	36745	33803	34126	144586	36321	38346	34313	35606	147497	35168	39644	36997	35688	166389	39329	47043	42171	37846	162215	42050	48954	38471	32739	136217	38791	44870	28494	24061	110467	27998	25902	27885	28682	97239	23209	23484	25553	24993	84890	61807	17885	13269	14758	15895	47409	14758	15895	18281
Giá vốn hàng bán###Cost of goods sold	17104	74792	18188	19314	18829	18461	82351	18694	23259	20218	20180	86613	20375	22524	22110	21603	100765	23601	27705	26403	23056	92696	24831	27376	22227	18284	72930	21895	24033	14750	12252	58448	14575	13691	14521	15662	50871	12594	12378	12473	13426	45618	32959	9025	7266	7913	8754	26063	7913	8754	9425
Lợi nhuận gộp###Gross profit	13936	64383	16313	17432	14974	15665	62235	17628	15087	14095	15425	60884	14793	17120	14886	14085	65624	15728	19338	15768	14790	69519	17219	21578	16244	14456	63286	16896	20837	13744	11809	52019	13423	12211	13364	13020	46368	10615	11106	13080	11567	39272	28848	8859	6003	6845	7141	21345	6845	7141	8856
Doanh thu hoạt động tài chính###Financial activities Revenues	29	76	56	4	13	2	89	45	16	9	20	205	69	35	51	51	152	57	20	6	66	131	46	34	25	25	458	38	31	238	151	220	71	86	38	25	246	11	11	133	90	639	669	157	141	204	167	69	204	167	167
Chi phí tài chính###Financial Expenses	363	1196	289	319	293	294	1454	334	424	377	320	916	284	280	154	193	991	262	192	247	290	1544	303	581	282	377	686	236	127	240	84	186	16	70	21	79	1097	115	228	348	406	2854	1361	196	454	416	295	872	416	295	448
